Gene Name	Left-End-Position	Right-End-Position	Product
ycjN	1371909	1373201	putative ABC transporter periplasmic binding protein YcjN
slyB	1719876	1720343	outer membrane lipoprotein SlyB
ymdB	1105820	1106353	2'-<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity
soxS	4277060	4277383	DNA-binding transcriptional dual regulator SoxS
yafP	252709	253161	putative <i>N</i>-acetyltransferase YafP
cyoE	446815	447705	heme O synthase
tdcC	3263686	3265017	threonine/serine:H<sup>+</sup> symporter
rrfB	4171637	4171756	5S ribosomal RNA
yieP	3940635	3941327	DNA-binding transcriptional dual regulator YieP
efeB	1083376	1084647	heme-containing peroxidase/deferrochelatase
rybB	887979	888057	small regulatory RNA RybB
yoaI	1874078	1874182	protein YoaI
ybgP	748979	749707	putative fimbrial chaperone YbgP
yfjZ	2777115	2777432	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system
afuC	277756	278802	CP4-6 prophage; ABC transporter ATP-binding protein AfuC
nadC	117752	118645	quinolinate phosphoribosyltransferase (decarboxylating)
frdD	4379007	4379366	fumarate reductase membrane protein FrdD
wcaM	2114502	2115896	putative colanic acid biosynthesis protein WcaM
ubiU	3301485	3302480	ubiquinone biosynthesis protein UbiU
aceB	4215478	4217079	malate synthase A
insD6	4498595	4499500	KpLE2 phage-like element; IS2 insertion element protein InsB
oppB	1302899	1303819	murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB
yiaD	3716547	3717206	PF13488 family lipoprotein YiaD
dgoD	3871850	3872998	D-galactonate dehydratase
ybbP	520416	522830	putative ABC transporter membrane subunit YbbP
ycfL	1162247	1162624	DUF1425 domain-containing protein YcfL
cheW	1972836	1973339	chemotaxis protein CheW
ndh	1166085	1167389	NADH:quinone oxidoreductase II
yqgF	3093500	3093916	ribonuclease H-like domain-containing nuclease
wrbA	1067112	1067708	NAD(P)H:quinone oxidoreductase
ygdB	2962749	2963156	DUF2509 domain-containing protein YgdB
yfjI	2758985	2760394	CP4-57 prophage; DUF3987 domain-containing protein YfjI
msbA	966621	968369	ATP-binding lipopolysaccharide transport protein
pncA	1851887	1852528	nicotinamidase
hyfC	2603847	2604794	hydrogenase 4 component C
ypdI	2494698	2494973	colanic acid synthesis putative lipoprotein YpdI
wzxE	3976278	3977528	lipid III<sub>ECA</sub> flippase
yoeF	2078575	2078931	CP4-44 prophage; putative uncharacterized protein YoeF
iroK	2668006	2668071	protein IroK
lolE	1177320	1178564	lipoprotein release complex - inner membrane subunit
frlC	3502340	3503170	fructoselysine 3-epimerase
kbl	3791355	3792551	2-amino-3-ketobutyrate CoA ligase
fimF	4547742	4548272	type 1 fimbriae minor subunit FimF
ybjQ	904593	904916	putative heavy metal binding protein YbjQ
yafN	252005	252298	antitoxin YafN
sbmC	2080789	2081262	DNA gyrase inhibitor
iraD	4556993	4557385	anti-adaptor protein IraD
b0017	15869	16177	
ysgD	4001218	4001274	protein YsgD
ubiG	2339567	2340289	bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase
rrsA	4035531	4037072	16S ribosomal RNA
obgE	3330582	3331754	GTPase ObgE
yjeO	4385704	4386018	DUF2645 domain-containing inner membrane protein YjeO
stpA	2798091	2798495	DNA-binding transcriptional repressor StpA with RNA chaperone activity
ppiC	3959532	3959813	peptidyl-prolyl <i>cis-trans</i> isomerase C
stfQ	1634885	1635847	Qin prophage; putative prophage side tail fiber protein StfQ
yjdN	4325298	4325741	PF06983 family protein YjdN
nadB	2710420	2712042	L-aspartate oxidase
nuoH	2396465	2397442	NADH:quinone oxidoreductase subunit H
gmm	2125743	2126222	GDP-mannose mannosyl hydrolase
ubiJ	4019624	4020229	ubiquinone biosynthesis accessory factor UbiJ
insE5	2170236	2170535	IS3 element protein InsE
ytfT	4452571	4453596	galactofuranose ABC transporter putative membrane subunit YtfT
yqcA	2922535	2922984	putative flavodoxin YqcA
fryC	2506647	2507894	putative PTS enzyme IIC component FryC
ybdL	633586	634746	methionine transaminase
tsr	4591657	4593312	methyl-accepting chemotaxis protein Tsr
dld	2222185	2223900	quinone-dependent D-lactate dehydrogenase
rbfA	3312777	3313178	30S ribosome binding factor
msyB	1113807	1114181	acidic protein MsyB
ydaS	1420365	1420661	Rac prophage; putative DNA-binding transcriptional regulator YdaS
yqjK	3250077	3250376	PF13997 family protein YqjK
nadD	669931	670572	nicotinate-nucleotide adenylyltransferase
nrfF	4293163	4293546	putative formate-dependent nitrite reductase complex subunit NrfF
rtcA	3555833	3556849	RNA 3'-terminal phosphate cyclase
lptG	4487318	4488400	lipopolysaccharide transport system protein LptG
ygjJ	3227801	3228871	protein YgjJ
paaC	1455164	1455910	phenylacetyl-CoA 1,2-epoxidase, structural subunit
yraH	3287426	3288010	putative fimbrial protein YraH
dppD	3702865	3703848	dipeptide ABC transporter ATP binding subunit DppD
ykgH	324696	325364	uncharacterized protein YkgH
nrdG	4459900	4460364	anaerobic ribonucleoside-triphosphate reductase activating protein
msrQ	2040483	2041118	membrane-bound flavocytochrome MsrQ
pssL	2722702	2722743	protein PssL
lldR	3779054	3779830	DNA-binding transcriptional dual regulator LldR
rrsH	223771	225312	16S ribosomal RNA
yfeC	2518467	2518811	DNA-binding transcriptional dual regulator YfeC
yrdB	3429766	3430023	DUF1488 domain-containing protein YrdB
ryjA	4277926	4278066	small RNA RyjA
yraI	3288090	3288785	putative fimbrial chaperone YraI
ymfI	1201497	1201838	e14 prophage; uncharacterized protein YmfI
ydhF	1724736	1725632	putative oxidoreductase YdhF
gmd	2127193	2128314	GDP-mannose 4,6-dehydratase
hybD	3140792	3141286	hydrogenase 2 maturation protease
mnmC	2441764	2443770	fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase
ydjM	1810211	1810801	inner membrane protein YdjM
ispB	3333710	3334681	<i>all-trans</i>-octaprenyl-diphosphate synthase
insA2	279600	279875	IS1 protein InsA
gsiD	871890	872801	glutathione ABC transporter membrane subunit GsiD
yeiH	2249717	2250766	PF03601 family inner membrane protein YeiH
uhpA	3850136	3850726	UhpA-Phosphorylated // DNA-binding transcriptional activator UhpA
allZ	533629	533863	small RNA AllZ
topAI	4533796	4534053	KpLE2 phage-like element; toxin of the TopAI-YjhQ toxin-antitoxin system, TopA inhibitor
ubiB	4020226	4021866	ubiquinone biosynthesis protein UbiB
yhfA	3485414	3485818	OsmC family protein YhfA
rusA	573371	573733	DLP12 prophage; crossover junction endodeoxyribonuclease RusA
yecM	1959280	1959846	putative metal-binding enzyme YecM
fdnH	1550461	1551345	formate dehydrogenase N subunit &beta;
thiI	441549	442997	tRNA uridine 4-sulfurtransferase
dinI	1121242	1121487	DNA damage-inducible protein I
pqiA	1012001	1013254	intermembrane transport protein PqiA
rep	3960677	3962698	ATP-dependent DNA helicase Rep
ychO	1273784	1275178	putative invasin YchO
ldcC	209679	211820	lysine decarboxylase 2
yqeI	2988502	2989311	putative transcriptional regulator YqeI
ybgD	752229	752795	putative fimbrial protein YbgD
tdh	3790320	3791345	threonine dehydrogenase
zbiJ	837435	837531	small regulatory RNA ZbiJ
tap	1969383	1970984	methyl-accepting chemotaxis protein Tap
yajL	443051	443641	protein/nucleic acid deglycase 3
tpke11	14080	14167	
ysdD	3884026	3884106	protein YsdD
ubiH	3052340	3053518	2-octaprenyl-6-methoxyphenol 4-hydroxylase
clsB	822498	823739	cardiolipin synthase B
yqjC	3248969	3249337	DUF1090 domain-containing protein YqjC
sraG	3311183	3311398	small regulatory RNA SraG
djlB	677415	678842	J domain-containing protein DjlB
yagE	282278	283186	CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase
evgA	2483755	2484369	DNA-binding transcriptional activator EvgA-phosphorylated // DNA-binding transcriptional activator EvgA
ynbD	1480909	1482201	phosphatase domain-containing protein YnbD
hypC	2851864	2852136	hydrogenase maturation factor HypC
dusC	2229438	2230385	tRNA-dihydrouridine<sup>16</sup> synthase
tisB	3853553	3853642	membrane-depolarizing toxin TisB
insCD1	381351	382579	IS2 element transposase InsAB'
idi	3033065	3033613	isopentenyl-diphosphate &Delta;-isomerase
hyfJ	2611457	2611870	putative hydrogenase 4 assembly protein
ylbG	529645	530016	putative DNA-binding transcriptional regulator YlbG
ptsH	2533764	2534021	phosphocarrier HPr-<i>N</i><sup>&pi;</sup>-phospho-L-histidine // phosphocarrier protein HPr
ompR	3535865	3536584	OmpR-Phosphorylated // DNA-binding transcriptional dual regulator OmpR
ymcF	1051684	1051872	protein YmcF
rdcB	4329360	4330238	regulator of diguanylate cyclase RdcB
glpD	3562013	3563518	aerobic glycerol 3-phosphate dehydrogenase
dgkA	4256637	4257005	diacylglycerol kinase
ygiD	3181619	3182434	4,5-DOPA dioxygenase extradiol
yneG	1611966	1612325	DUF4186 domain-containing protein YneG
sgrS	77367	77593	small regulatory RNA SgrS
dpiB	652235	653893	DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB
frdA	4380510	4382318	fumarate reductase flavoprotein subunit
rlmH	668248	668715	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase
yebG	1930457	1930747	DNA damage-inducible protein YebG
yqeB	3012614	3014239	XdhC-CoxI family protein YqeB
dnaN	3881221	3882321	&beta; sliding clamp
dsdA	2479202	2480530	D-serine ammonia-lyase
rarD	4003288	4004178	putative transporter RarD
garP	3273573	3274907	galactarate/D-glucarate transporter GarP
fumE	3074686	3075195	fumarase E
fimC	4544304	4545029	type 1 fimbriae periplasmic chaperone
barA	2915057	2917813	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA
yohP	2228982	2229065	uncharacterized membrane protein YohP
pdeK	3683630	3685618	c-di-GMP phosphodiesterase PdeK
ydeI	1624105	1624497	BOF family protein YdeI
ymgL	1212540	1212650	protein YmgL
ubiX	2428057	2428626	flavin prenyltransferase
lgt	2965162	2966037	phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
azuR	1987890	1987920	small regulatory RNA AzuR
ygjH	3220915	3221247	putative tRNA-binding protein YgjH
sroE	2640595	2640686	small RNA SroE
gspH	3461468	3461977	type II secretion system protein GspH
torD	1061799	1062398	trimethylamine-N-oxide reductase-specific chaperone
ispZ	194784	194844	small regulatory RNA IspZ
kdpE	721056	721733	KdpE-Phosphorylated // DNA-binding transcriptional activator KdpE
ycfZ	1180479	1181267	putative inner membrane protein YcfZ
adhP	1552828	1553838	ethanol dehydrogenase / alcohol dehydrogenase
rsmG	3923057	3923680	16S rRNA m<sup>7</sup>G527 methyltransferase
yjeH	4369156	4370412	L-methionine/branched chain amino acid exporter
yciK	1328354	1329112	putative oxidoreductase
insJ	3720680	3721201	insertion element IS150 protein InsA
ubiF	695101	696276	3-demethoxyubiquinol 3-hydroxylase
ybaT	512576	513868	putative transporter YbaT
dctR	3654683	3655213	putative DNA-binding transcriptional regulator DctR
manX	1902048	1903019	mannose-specific PTS enzyme IIAB component
creB	4636007	4636696	DNA-binding transcriptional regulator CreB-phosphorylated // DNA-binding transcriptional regulator CreB
ybhC	805998	807281	outer membrane lipoprotein YbhC
cyaA	3991153	3993699	adenylate cyclase
pgpC	2697915	2698550	phosphatidylglycerophosphatase C
ybaA	476672	477025	DUF1428 domain-containing protein YbaA
gspE	3458339	3459820	type II secretion system protein GspE
ybeR	676711	677418	DUF1266 domain-containing protein YbeR
rdlB	1269858	1269923	putative antisense regulatory RNA RdlB
rcsC	2317027	2319876	RcsC-phospho-L-aspartate // RcsC-<i>N</i>-phospho-L-histidine // histidine kinase RcsC
pgl	798586	799581	6-phosphogluconolactonase
nuoC	2402055	2403845	NADH:quinone oxidoreductase subunit CD
tusB	3474678	3474965	sulfurtransferase complex subunit TusB
yfaV	2358863	2360152	putative transporter YfaV
fepE	618254	619387	polysaccharide co-polymerase family protein FepE
yhhM	3605251	3605610	DUF2500 domain-containing protein YhhM
holD	4607803	4608216	DNA polymerase III subunit &psi;
tdcG	3258285	3259649	L-serine deaminase III
sgbU	3749232	3750092	putative L-xylulose 5-phosphate 3-epimerase
gspA	3453929	3455398	Type II secretion system protein GspA
phoU	3906853	3907578	negative regulator of the <i>pho</i> regulon
yfcQ	2450587	2451075	putative fimbrial protein YfcQ
pyrS	2498671	2500368	PyrS-<i>N</i>-phospho-L-histidine // sensor histidine kinase PyrS
prkB	3484490	3485359	putative phosphoribulokinase
ybcL	570893	571444	DLP12 prophage; periplasmic protein YbcL
mazE	2911091	2911339	antitoxin of the MazF-MazE toxin-antitoxin system MazE
yjgW	4499599	4499934	
ymiB	1346796	1346900	putative protein YmiB
plsB	4254043	4256466	glycerol-3-phosphate 1-<i>O</i>-acyltransferase
agrA	3648063	3648144	small RNA AgrA
syd	2924735	2925280	SecY-interacting protein
sraA	458728	458784	small RNA SraA
ytfF	4432091	4433056	inner membrane protein YtfF
aslB	3982958	3984193	putative anaerobic sulfatase maturation enzyme AslB
rbsZ	3937045	3937278	small regulatory RNA RbsZ
baeS	2162876	2164279	BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS
ybhK	815739	816647	putative transferase YbhK
nrfC	4289808	4290479	putative menaquinol-cytochrome <i>c</i> reductase 4Fe-4S subunit
tusE	1030339	1030668	sulfur transfer protein TusE
mdtJ	1673136	1673501	multidrug/spermidine efflux pump membrane subunit MdtJ
yeiS	2233600	2233839	DUF2542 domain-containing protein YeiS
tff	189712	189847	putative small RNA T44
insD3	2068952	2069857	CP4-44 prophage; IS2 insertion element protein InsB
ubiI	3051115	3052317	2-octaprenylphenol 6-hydroxylase
yqgA	3109553	3110260	DUF554 domain-containing protein YqgA
tldD	3390583	3392028	metalloprotease subunit TldD
lacI	366428	367510	DNA-binding transcriptional repressor LacI
phoQ	1188316	1189776	sensor histidine kinase PhoQ
yhiJ	3630968	3632590	DUF4049 domain-containing protein YhiJ
rdcA	4327135	4329363	regulator of diguanylate cyclase RdcA
clsC	1106355	1107776	cardiolipin synthase C
yfgI	2630326	2630865	nalidixic acid resistance protein YfgI
lysO	913958	914857	L-lysine/thialysine exporter
ybiI	838190	838456	zinc finger domain-containing protein YbiI
ftsO	92485	92658	small regulatory RNA FtsO
dhaR	1251066	1252985	DNA-binding transcriptional dual regulator DhaR
grcA	2716066	2716449	stress-induced alternate pyruvate formate-lyase subunit
gnd	2099862	2101268	6-phosphogluconate dehydrogenase, decarboxylating
trmL	3781215	3781688	tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase
frlA	3499910	3501247	fructoselysine/psicoselysine transporter
ygbM	2864236	2865012	putative 2-oxo-tetronate isomerase YgbM
atoE	2324756	2326078	short chain fatty acid transporter
priC	490285	490812	primosomal replication protein N''
sapF	1351828	1352634	putrescine ABC exporter ATP binding protein SapF
evgS	2484374	2487967	EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS
lldP	3777399	3779054	lactate/glycolate:H<sup>+</sup> symporter LldP
mqsA	3167851	3168246	antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA
yadK	151003	151599	putative fimbrial protein YadK
yibL	3776665	3777027	DUF2810 domain-containing protein YibL
sgrT	77388	77519	PtsG glucose transporter inhibitor
valZ	781068	781143	tRNA-Val(UAC)
cpxP	4105820	4106320	periplasmic protein CpxP
yojO	2303606	2303770	uncharacterized protein YojO
pgpA	436589	437107	phosphatidylglycerophosphatase A
C0293	1196711	1196782	e14 prophage; small regulatory RNA C0293
arnD	2370018	2370908	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
sroA	75516	75608	small RNA SroA
gspL	3463922	3465085	type II secretion system protein GspL
mpaA	1389870	1390598	murein tripeptide amidase A
sfmC	558974	559666	putative fimbrial chaperone SfmC
rdlC	1270393	1270460	putative antisense regulatory RNA RdlC
phoB	417142	417831	DNA-binding transcriptional dual regulator PhoB-phosphorylated // DNA-binding transcriptional dual regulator PhoB
ykgJ	303853	304182	putative metal-chelating domain-containing protein YkgJ
narZ	1538850	1542590	nitrate reductase Z subunit &alpha;
tsaD	3209530	3210543	N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaD subunit
nanX	4504058	4505275	sialic acid transporter NanX
yjaZ	4189786	4190325	protein YjaZ
insL2	608065	609177	IS186/IS421 transposase
menH	2376834	2377592	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
gsiC	870967	871887	glutathione ABC transporter membrane subunit GsiC
fliZ	2000473	2001024	DNA-binding transcriptional regulator FliZ
fucK	2937468	2938886	L-fuculokinase
dpiA	653862	654542	DNA-binding transcriptional dual regulator DpiA-phosphorylated // DNA-binding transcriptional dual regulator DpiA
yihM	4061165	4062145	putative TIM barrel domain-containing protein YihM
tar	1971030	1972691	methyl-accepting chemotaxis protein Tar
opgB	4597150	4599441	phosphoglycerol transferase II // phosphoglycerol transferase I
pdeD	1898427	1900025	putative c-di-GMP phosphodiesterase PdeD
yidE	3864612	3866273	putative transport protein YidE
yibG	3768177	3768638	tetratricopeptide-like domain-containing protein YibG
malH	4242531	4242633	small regulatory RNA MalH
qseC	3170484	3171833	QseC-<i>N</i>-phospho-L-histidine // sensor histidine kinase QseC
zwf	1934839	1936314	NADP+-dependent glucose-6-phosphate dehydrogenase
hyaE	1036354	1036752	putative HyaA chaperone
cca	3201891	3203129	fused CCA tRNA nucleotidyltransferase/phosphohydrolase
yhjV	3700563	3701834	putative transporter YhjV
aaeA	3388194	3389126	aromatic carboxylic acid efflux pump membrane fusion protein
wbbJ	2104494	2105084	putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ
yihS	4070515	4071756	sulfoquinovose isomerase
dnaC	4600238	4600975	DNA replication protein DnaC
csdA	2943337	2944542	cysteine sulfinate desulfinase
gspI	3461974	3462351	type II secretion system protein GspI
rstB	1682882	1684183	sensory histidine kinase RstB - phosphorylated // sensory histidine kinase RstB
dgcC	403703	404818	diguanylate cyclase DgcC
ydeR	1587793	1588296	putative fimbrial protein YdeR
tdcA	3266127	3267065	DNA-binding transcriptional activator TdcA
yafE	231926	232549	putative S-adenosylmethionine-dependent methyltransferase
serX	1097565	1097652	tRNA-Ser(GGA)
pphA	1922313	1922969	phosphoprotein phosphatase 1
b1364	1425178	1425459	
yjiS	4571751	4571915	DUF1127 domain-containing protein YjiS
clsA	1307185	1308645	cardiolipin synthase A
agrB	3648294	3648375	small regulatory RNA AgrB
ydhT	1748747	1749559	uncharacterized protein YdhT
ryjB	4527977	4528066	small RNA RyjB
yfbS	2409520	2411352	putative transporter YfbS
prlC	3643140	3645182	oligopeptidase A
dsbC	3038112	3038822	protein disulfide isomerase DsbC
sokC	16952	17010	small regulatory RNA antitoxin SokC
btsS	2212959	2214644	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor
ytgA	4486105	4486155	protein YtgA
dmsC	944033	944896	dimethyl sulfoxide reductase subunit C
rlmG	3234739	3235875	23S rRNA m<sup>2</sup>G1835 methyltransferase
nupX	2252895	2254145	putative nucleoside transporter
yoaG	1879403	1879585	DUF1869 domain-containing protein YoaG
ubiV	3302489	3303367	ubiquinone biosynthesis protein UbiV
insAB3	290649	291346	InsAB' transposase
maeB	2576098	2578377	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>)
yfeH	2526946	2527944	putative solute:Na<sup>+</sup> symporter
rnk	643557	643967	nucleoside diphosphate kinase regulator
bglG	3905731	3906567	transcriptional antiterminator BglG
yjgN	4479730	4480926	inner membrane protein YjgN
envZ	3534516	3535868	sensor histidine kinase EnvZ
plsC	3162744	3163481	1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC
curA	1519027	1520064	NADPH-dependent curcumin/dihydrocurcumin reductase
gspC	3455578	3456393	type II secretion system protein GspC
yciG	1315856	1316035	stress-induced bacterial acidophilic repeat motifs-containing protein YciG
aspX	4366839	4366951	small regulatory RNA AspX
pyrR	2500383	2501117	DNA-binding transcriptional dual regulator PyrR-phosphorylated // DNA-binding transcriptional activator PyrR
dcuS	4350031	4351662	DcuS-<i>N</i>-phospho-L-histidine // sensor histidine kinase DcuS
fumD	1754932	1755141	fumarase D
rlmN	2643129	2644283	23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase
yihN	4062247	4063512	putative transporter YihN
yfdC	2465301	2466233	inner membrane protein YfdC
aspC	984519	985709	aspartate aminotransferase
rob	4634441	4635310	DNA-binding transcriptional dual regulator Rob
malS	3737497	3739527	alpha-amylase
epd	3072672	3073691	D-erythrose-4-phosphate dehydrogenase
yohK	2231019	2231714	putative 3-hydroxypropanoate export protein YohK
bfd	3466797	3466991	bacterioferritin-associated ferredoxin
yehD	2191680	2192222	putative fimbrial protein YehD
baeR	2164276	2164998	DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR
yigI	4004230	4004697	acyl-CoA thioesterase YigI
lysW	780843	780918	tRNA-Lys(UUU)
ygiN	3173142	3173456	putative quinol monooxygenase YgiN
yzgL	3563724	3564005	putative uncharacterized protein YzgL
psd	4389392	4390360	phosphatidylserine decarboxylase proenzyme // phosphatidylserine decarboxylase, &beta; chain // phosphatidylserine decarboxylase, &alpha; chain
ralA	1413556	1413734	Rac prophage; small regulatory RNA antitoxin RalA
ycgN	1228815	1229276	putative metal-chelating domain-containing protein YcgN
tsuA	2084467	2085525	thiosulfate transporter
lon	458888	461242	Lon protease
yfcS	2451584	2452336	putative fimbrial chaperone YfcS
sokB	1492119	1492175	putative small regulatory RNA antitoxin SokB
phoR	417889	419184	sensor histidine kinase PhoR
yfiS	2725925	2725987	protein YfiS
ybiY	862612	863511	putative pyruvate formate-lyase activating enzyme YbiY
selU	530132	531226	tRNA 2-selenouridine synthase
gdx	4376875	4377192	guanidinium exporter
rhsC	729583	733776	rhs element protein RhsC
thiD	2183716	2184516	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
ispG	2640686	2641804	(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
insA6	3583483	3583758	IS1 protein InsA
maeA	1553972	1555669	malate dehydrogenase (oxaloacetate-decarboxylating)
yjiJ	4561497	4562675	putative transporter YjiJ
glnK	472598	472936	uridylyl-[protein PII-2] // nitrogen regulatory protein PII-2
fruB	2262365	2263495	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB
yhhW	3578950	3579645	quercetin 2,3-dioxygenase
rstA	1682159	1682878	DNA-binding transcriptional regulator RstA-phosphorylated // DNA-binding transcriptional regulator RstA
pgpB	1339330	1340094	phosphatidylglycerophosphatase B
elfC	999216	1001816	putative fimbrial usher protein ElfC
ycfT	1174092	1175165	inner membrane protein YcfT
yghW	3146450	3146737	DUF2623 domain-containing protein YghW
chiZ	708236	708333	small regulatory RNA ChiZ
basS	4332181	4333272	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS
nikE	3617776	3618582	Ni(2+) ABC transporter ATP binding subunit NikE
fruK	2261427	2262365	1-phosphofructokinase
trmD	2744572	2745339	tRNA m<sup>1</sup>G37 methyltransferase
uacT	3031367	3032815	urate:H<sup>+</sup> symporter
slyX	3477640	3477858	protein SlyX
astD	1828256	1829734	aldehyde dehydrogenase
polB	63429	65780	DNA polymerase II
kbaZ	3278914	3280194	putative tagatose-1,6-bisphosphate aldolase 1 chaperone
guaD	3025766	3027085	guanine deaminase
yhfT	3506032	3507336	uncharacterized protein YhfT
relA	2911417	2913651	GDP/GTP pyrophosphokinase
ycbU	1002889	1003431	putative fimbrial protein YcbU
creC	4636696	4638120	sensory histidine kinase CreC
creA	4635521	4635994	PF05981 family protein CreA
glyY	4392583	4392658	tRNA-Gly(GCC)
ychH	1258791	1259069	stress-induced protein
sroG	3184570	3184718	
ypdJ	2476094	2476234	CPS-53 (KpLE1) prophage; putative uncharacterized protein YpdJ
gnsA	1052067	1052240	putative phosphatidylethanolamine synthesis regulator GnsA
ybgQ	749722	752169	putative fimbrial usher protein YbgQ
ybjJ	886131	887339	inner membrane protein YbjJ
ycaL	960264	961028	periplasmic protease YcaL
ecpB	309358	310026	putative fimbrial chaperone EcpB
rdlA	1269323	1269389	putative antisense regulatory RNA RdlA
cusS	593328	594770	CusS-<i>N</i>-phospho-L-histidine // sensor histidine kinase CusS
yadX	175048	175095	protein YadX
pflD	4143995	4146292	putative formate acetyltransferase 2
truC	2923002	2923784	tRNA pseudouridine<sup>65</sup> synthase
mdtB	2155263	2158385	multidrug efflux pump RND permease subunit MdtB
ydhS	1747131	1748735	FAD/NAD(P) binding domain-containing protein YdhS
thiS	4192637	4192837	sulfur carrier protein ThiS
ubiK	3184840	3185130	ubiquinone biosynthesis accessory factor UbiK
insB5	1978518	1979021	IS1 protein InsB
ggt	3585081	3586823	glutathione hydrolase, small subunit // glutathione hydrolase, large subunit // glutathione hydrolase proenzyme
gspJ	3462344	3462931	type II secretion system protein GspJ
yheO	3475718	3476440	DNA-binding transcriptional regulator YheO
ydjI	1856933	1857769	L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate aldolase
yhbS	3300255	3300758	putative <i>N</i>-acetyltransferase YhbS
glrR	2687469	2688803	DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR
cdsA	195677	196534	CDP-diglyceride synthetase
yaiI	405764	406222	DUF188 domain-containing protein YaiI
ybbY	540565	541866	putative purine transporter
yebO	1908261	1908548	uncharacterized protein YebO
sdhX	765050	765150	small regulatory RNA SdhX
kdpD	721730	724414	sensor histidine kinase KdpD
nuoM	2391512	2393041	NADH:quinone oxidoreductase subunit M
rluE	1194298	1194951	23S rRNA pseudouridine<sup>2457</sup> synthase
ydfJ	1631002	1632285	putative transporter YdfJ
yeeZ	2088304	2089128	putative epimerase YeeZ
paaZ	1451597	1453642	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase
uvrD	3997983	4000145	DNA helicase II
gcvP	3046168	3049041	glycine decarboxylase
fbp	4454611	4455609	fructose-1,6-bisphosphatase 1
gspG	3461023	3461460	type II secretion system protein GspG
ravA	3929597	3931093	regulatory ATPase RavA
yadC	149715	150953	fimbrial tip-adhesin YadC
rcsD	2313488	2316160	RcsD-<i>N</i>-phospho-L-histidine // RcsD phosphotransferase
nlpC	1792267	1792731	NlpC/P60 family lipoprotein NlpC
aspT	3946872	3946948	tRNA-Asp(GUC)
ygiW	3169284	3169676	BOF family protein YgiW
ygjR	3237311	3238297	putative oxidoreductase YgjR
plsY	3204694	3205311	putative glycerol-3-phosphate acyltransferase
yciY	1308788	1308961	uncharacterized protein YciY
yegH	2137902	2139485	inner membrane protein YegH
aat	926728	927432	leucyl/phenylalanyl-tRNA&mdash;protein transferase
ppiB	553943	554437	peptidyl-prolyl <i>cis-trans</i> isomerase B
adiA	4338254	4340521	arginine decarboxylase, degradative
glrK	2689671	2691098	GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK
ymgM	1240260	1240463	protein YmgM
narW	1536614	1537309	NarW, putative private chaperone for NarZ nitrate reductase subunit
rsmJ	3642380	3643132	16S rRNA m<sup>2</sup>G1516 methyltransferase
ybbW	537633	539087	putative allantoin transporter
thiF	4192821	4193576	sulfur carrier protein ThiS adenylyltransferase
ubiD	4024988	4026481	3-octaprenyl-4-hydroxybenzoate decarboxylase
insF3	567138	568004	DLP12 prophage; IS3 element protein InsF
glpX	4114569	4115579	fructose-1,6-bisphosphatase 2
